1516752024,604800,375723915961565187,RuneScape's weekly Distractions and Diversions have reset!;1516320022,86400,375723915961565187,RuneScape's server has just reset!;1516838424,1123200,375723915961565187,A Raven has spawned in Prifddinas!;1516305681,28800,390301117126279171,<@&390715502085013505> Fluffy is asleep! http://www.dobbyssock.net/floor.php?f=3&p=3;1516297550,900,398950082655027220,Check if the puffs have refreshed! <@&398952741919129610> http://www.dobbyssock.net/pygmypuffs.php;1516752005,604800,375723915961565187,The No Fear citadel build cycle has been completed. You may once again cap at the citadel!;1516305551,43200,387769296568320021,-del_on_send <:BrunoChillDude:390411525635964929> : 
Thank you for supporting the server.
If you have any sugestions please let us know in <#380792723785121792> !
If you find me annoying please mute this channel!;
